Destination_ID,Product,Monthly_Demand_Liters,Product_Storage_Capacity_Liters,Distance_km,Estimated_Refills
Station_1,Product_1,18694.0,16353.104000000001,48.033,2
Station_1,Product_2,56818.1724137931,27255.176000000003,48.033,3
Station_1,Product_3,151632.27586206896,21804.144,48.033,7
Station_10,Product_1,153382.72413793104,27255.176000000003,3.974,6
Station_10,Product_2,108519.62068965517,27255.176000000003,3.974,4
Station_10,Product_3,202454.10344827586,27255.176000000003,3.974,8
Station_11,Product_1,239867.07692307694,54510.352000000006,44.147,5
Station_11,Product_2,190696.61538461538,27255.176000000003,44.147,7
Station_11,Product_3,414339.46153846156,81765.528,44.147,6
Station_12,Product_1,108405.3448275862,54510.352000000006,8.702,2
Station_12,Product_2,245102.72413793104,27255.176000000003,8.702,9
Station_12,Product_3,465135.8965517241,109020.70400000001,8.702,5
Station_13,Product_1,15018.4,29460.120000000003,28.499,1
Station_13,Product_2,126362.86206896552,9820.039999999999,28.499,13
Station_13,Product_3,599230.7586206896,32733.471999999998,28.499,19
Station_14,Product_1,92192.93103448275,27255.176000000003,45.861,4
Station_14,Product_2,139460.0,27255.176000000003,45.861,6
Station_14,Product_3,288824.9655172414,27255.176000000003,45.861,11
Station_15,Product_1,22038.4,16353.104000000001,53.636,2
Station_15,Product_2,111765.37931034483,27255.176000000003,53.636,5
Station_15,Product_3,243933.8275862069,27255.176000000003,53.636,9
Station_16,Product_1,165724.88235294117,27255.176000000003,47.939,7
Station_16,Product_2,138845.55172413794,27255.176000000003,47.939,6
Station_16,Product_3,258611.5172413793,27255.176000000003,47.939,10
Station_17,Product_1,128951.10344827586,27255.176000000003,73.342,5
Station_17,Product_2,43085.10344827586,27255.176000000003,73.342,2
Station_17,Product_3,156277.75862068965,27255.176000000003,73.342,6
Station_18,Product_2,70432.55172413793,16353.104000000001,44.659,5
Station_18,Product_3,204184.3103448276,27255.176000000003,44.659,8
Station_19,Product_1,12867.666666666666,35431.728,46.682,1
Station_19,Product_2,47053.793103448275,16353.104000000001,46.682,3
Station_19,Product_3,177066.4827586207,38157.248,46.682,5
Station_2,Product_1,5445.0,27255.176000000003,16.226,1
Station_2,Product_2,158490.0344827586,27255.176000000003,16.226,6
Station_2,Product_3,465057.724137931,27255.176000000003,16.226,18
Station_20,Product_1,185841.10344827586,27255.176000000003,24.25,7
Station_20,Product_2,94225.58620689655,27255.176000000003,24.25,4
Station_20,Product_3,274074.8620689655,27255.176000000003,24.25,11
Station_21,Product_1,12363.0,4687.896,44.7,3
Station_21,Product_3,259908.22222222222,13627.592000000002,44.7,20
Station_22,Product_1,337934.7586206897,72738.608,66.724,5
Station_22,Product_3,83296.67857142857,13093.384,66.724,7
Station_23,Product_1,19434.0,3270.6240000000003,12.106,6
Station_24,Product_1,19970.0,43608.28,22.459,1
Station_24,Product_2,118668.41379310345,16353.104000000001,22.459,8
Station_24,Product_3,291060.724137931,27255.176000000003,22.459,11
Station_25,Product_1,163290.27586206896,27255.176000000003,35.108,6
Station_25,Product_2,61370.275862068964,27255.176000000003,35.108,3
Station_25,Product_3,210740.6551724138,27255.176000000003,35.108,8
Station_3,Product_1,614099.4137931034,49059.32000000001,29.089,13
Station_3,Product_2,427239.7586206897,49059.32000000001,29.089,9
Station_3,Product_3,892722.8275862068,49059.32000000001,29.089,19
Station_4,Product_1,207626.9090909091,27255.176000000003,14.409,8
Station_4,Product_2,110280.54545454546,27255.176000000003,14.409,5
Station_4,Product_3,466227.1818181818,27255.176000000003,14.409,18
Station_5,Product_1,156130.2068965517,13627.592000000002,61.929,12
Station_5,Product_2,88060.10344827586,8176.560000000001,61.929,11
Station_5,Product_3,362277.6896551724,19078.624,61.929,19
Station_6,Product_1,12503.0,32706.208000000002,29.497,1
Station_6,Product_2,301172.4137931034,32706.208000000002,29.497,10
Station_6,Product_3,743091.6551724138,65412.416000000005,29.497,12
Station_7,Product_1,250911.62068965516,27255.176000000003,4.453,10
Station_7,Product_2,136731.06896551725,27255.176000000003,4.453,6
Station_7,Product_3,371343.3448275862,27255.176000000003,4.453,14
Station_8,Product_1,378879.275862069,54510.352000000006,49.394,7
Station_8,Product_2,288785.1724137931,54510.352000000006,49.394,6
Station_8,Product_3,598007.3793103448,54510.352000000006,49.394,11
Station_9,Product_1,354012.4827586207,32706.208000000002,54.851,11
Station_9,Product_2,315918.8620689655,32706.208000000002,54.851,10
Station_9,Product_3,565996.9655172414,49059.312000000005,54.851,12
